chart_week,title,performer,wks_on_chart
8/29/2020,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,10
8/29/2020,I Hope,Gabby Barrett Featuring Charlie Puth,34
8/22/2020,WAP,Cardi B Featuring Megan Thee Stallion,1
8/22/2020,Rockstar,DaBaby Featuring Roddy Ricch,17
8/22/2020,Blinding Lights,The Weeknd,37
8/22/2020,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",27
8/22/2020,Watermelon Sugar,Harry Styles,21
8/22/2020,Roses,SAINt JHN,21
8/22/2020,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,9
8/22/2020,Smile,Juice WRLD & The Weeknd,1
8/22/2020,Go Crazy,Chris Brown & Young Thug,14
8/22/2020,Before You Go,Lewis Capaldi,28
8/15/2020,Watermelon Sugar,Harry Styles,20
8/15/2020,Rockstar,DaBaby Featuring Roddy Ricch,16
8/15/2020,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",26
8/15/2020,Blinding Lights,The Weeknd,36
8/15/2020,Roses,SAINt JHN,20
8/15/2020,My Future,Billie Eilish,1
8/15/2020,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,8
8/15/2020,Cardigan,Taylor Swift,2
8/15/2020,Go Crazy,Chris Brown & Young Thug,13
8/15/2020,Blueberry Faygo,Lil Mosey,26
8/8/2020,Cardigan,Taylor Swift,1
8/8/2020,Rockstar,DaBaby Featuring Roddy Ricch,15
8/8/2020,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",25
8/8/2020,The 1,Taylor Swift,1
8/8/2020,Blinding Lights,The Weeknd,35
8/8/2020,Exile,Taylor Swift Featuring Bon Iver,1
8/8/2020,Watermelon Sugar,Harry Styles,19
8/8/2020,Roses,SAINt JHN,19
8/8/2020,Savage,Megan Thee Stallion,20
8/8/2020,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,7
8/1/2020,Rockstar,DaBaby Featuring Roddy Ricch,14
8/1/2020,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",24
8/1/2020,Popstar,DJ Khaled Featuring Drake,1
8/1/2020,Blinding Lights,The Weeknd,34
8/1/2020,Roses,SAINt JHN,18
8/1/2020,Savage,Megan Thee Stallion,19
8/1/2020,Watermelon Sugar,Harry Styles,18
8/1/2020,Greece,DJ Khaled Featuring Drake,1
8/1/2020,Come & Go,Juice WRLD x Marshmello,2
8/1/2020,Go Crazy,Chris Brown & Young Thug,11
7/25/2020,Rockstar,DaBaby Featuring Roddy Ricch,13
7/25/2020,Come & Go,Juice WRLD x Marshmello,1
7/25/2020,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",23
7/25/2020,Blinding Lights,The Weeknd,33
7/25/2020,Wishing Well,Juice WRLD,1
7/25/2020,Savage,Megan Thee Stallion,18
7/25/2020,Conversations,Juice WRLD,1
7/25/2020,Roses,SAINt JHN,17
7/25/2020,Life's A Mess,Juice WRLD X Halsey,2
7/25/2020,Hate The Other Side,Juice WRLD & Marshmello Featuring Polo G & The Kid LAROI,1
7/18/2020,Rockstar,DaBaby Featuring Roddy Ricch,12
7/18/2020,Blinding Lights,The Weeknd,32
7/18/2020,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",22
7/18/2020,Savage,Megan Thee Stallion,17
7/18/2020,Roses,SAINt JHN,16
7/18/2020,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,1
7/18/2020,Watermelon Sugar,Harry Styles,16
7/18/2020,Blueberry Faygo,Lil Mosey,22
7/18/2020,Say So,Doja Cat Featuring Nicki Minaj,27
7/18/2020,Intentions,Justin Bieber Featuring Quavo,22
7/11/2020,Rockstar,DaBaby Featuring Roddy Ricch,11
7/11/2020,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",21
7/11/2020,Blinding Lights,The Weeknd,31
7/11/2020,Savage,Megan Thee Stallion,16
7/11/2020,Roses,SAINt JHN,15
7/11/2020,Say So,Doja Cat Featuring Nicki Minaj,26
7/11/2020,Intentions,Justin Bieber Featuring Quavo,21
7/11/2020,Watermelon Sugar,Harry Styles,15
7/11/2020,Blueberry Faygo,Lil Mosey,21
7/11/2020,We Paid,Lil Baby & 42 Dugg,9
7/4/2020,Rockstar,DaBaby Featuring Roddy Ricch,10
7/4/2020,Savage,Megan Thee Stallion,15
7/4/2020,Blinding Lights,The Weeknd,30
7/4/2020,Roses,SAINt JHN,14
7/4/2020,Intentions,Justin Bieber Featuring Quavo,20
7/4/2020,Say So,Doja Cat Featuring Nicki Minaj,25
7/4/2020,The Bigger Picture,Lil Baby,2
7/4/2020,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",20
7/4/2020,Blueberry Faygo,Lil Mosey,20
7/4/2020,Circles,Post Malone,43
6/27/2020,Trollz,6ix9ine & Nicki Minaj,1
6/27/2020,Rockstar,DaBaby Featuring Roddy Ricch,9
6/27/2020,The Bigger Picture,Lil Baby,1
6/27/2020,Savage,Megan Thee Stallion,14
6/27/2020,Blinding Lights,The Weeknd,29
6/27/2020,Say So,Doja Cat Featuring Nicki Minaj,24
6/27/2020,Intentions,Justin Bieber Featuring Quavo,19
6/27/2020,Roses,SAINt JHN,13
6/27/2020,Rain On Me,Lady Gaga & Ariana Grande,4
6/27/2020,The Box,Roddy Ricch,28
6/20/2020,Rockstar,DaBaby Featuring Roddy Ricch,8
6/20/2020,Savage,Megan Thee Stallion,13
6/20/2020,Blinding Lights,The Weeknd,28
6/20/2020,Say So,Doja Cat Featuring Nicki Minaj,23
6/20/2020,Intentions,Justin Bieber Featuring Quavo,18
6/20/2020,Toosie Slide,Drake,10
6/20/2020,Roses,SAINt JHN,12
6/20/2020,Don't Start Now,Dua Lipa,32
6/20/2020,The Box,Roddy Ricch,27
6/20/2020,Rain On Me,Lady Gaga & Ariana Grande,3
6/13/2020,Rockstar,DaBaby Featuring Roddy Ricch,7
6/13/2020,Savage,Megan Thee Stallion,12
6/13/2020,Blinding Lights,The Weeknd,27
6/13/2020,Say So,Doja Cat Featuring Nicki Minaj,22
6/13/2020,Rain On Me,Lady Gaga & Ariana Grande,2
6/13/2020,Toosie Slide,Drake,9
6/13/2020,Don't Start Now,Dua Lipa,31
6/13/2020,Intentions,Justin Bieber Featuring Quavo,17
6/13/2020,The Box,Roddy Ricch,26
6/13/2020,Roses,SAINt JHN,11
6/6/2020,Rain On Me,Lady Gaga & Ariana Grande,1
6/6/2020,Savage,Megan Thee Stallion,11
6/6/2020,Rockstar,DaBaby Featuring Roddy Ricch,6
6/6/2020,Blinding Lights,The Weeknd,26
6/6/2020,Say So,Doja Cat Featuring Nicki Minaj,21
6/6/2020,Toosie Slide,Drake,8
6/6/2020,Don't Start Now,Dua Lipa,30
6/6/2020,The Box,Roddy Ricch,25
6/6/2020,Intentions,Justin Bieber Featuring Quavo,16
6/6/2020,Life Is Good,Future Featuring Drake,20
5/30/2020,Savage,Megan Thee Stallion,10
5/30/2020,Say So,Doja Cat Featuring Nicki Minaj,20
5/30/2020,Blinding Lights,The Weeknd,25
5/30/2020,Rockstar,DaBaby Featuring Roddy Ricch,5
5/30/2020,Toosie Slide,Drake,7
5/30/2020,Life Is Good,Future Featuring Drake,19
5/30/2020,The Box,Roddy Ricch,24
5/30/2020,Don't Start Now,Dua Lipa,29
5/30/2020,Intentions,Justin Bieber Featuring Quavo,15
5/30/2020,Circles,Post Malone,38
5/23/2020,Stuck With U,Ariana Grande & Justin Bieber,1
5/23/2020,Say So,Doja Cat Featuring Nicki Minaj,19
5/23/2020,Gooba,6ix9ine,1
5/23/2020,Blinding Lights,The Weeknd,24
5/23/2020,Savage,Megan Thee Stallion,9
5/23/2020,Toosie Slide,Drake,6
5/23/2020,The Box,Roddy Ricch,23
5/23/2020,Rockstar,DaBaby Featuring Roddy Ricch,4
5/23/2020,Don't Start Now,Dua Lipa,28
5/23/2020,Circles,Post Malone,37
5/16/2020,Say So,Doja Cat Featuring Nicki Minaj,18
5/16/2020,Savage,Megan Thee Stallion,8
5/16/2020,Blinding Lights,The Weeknd,23
5/16/2020,Toosie Slide,Drake,5
5/16/2020,The Box,Roddy Ricch,22
5/16/2020,Don't Start Now,Dua Lipa,27
5/16/2020,Pain 1993,Drake Featuring Playboi Carti,1
5/16/2020,Circles,Post Malone,36
5/16/2020,Rockstar,DaBaby Featuring Roddy Ricch,3
5/16/2020,Intentions,Justin Bieber Featuring Quavo,13
5/9/2020,The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi",1
5/9/2020,Blinding Lights,The Weeknd,22
5/9/2020,Toosie Slide,Drake,4
5/9/2020,Savage,Megan Thee Stallion,7
5/9/2020,The Box,Roddy Ricch,21
5/9/2020,Say So,Doja Cat Featuring Nicki Minaj,17
5/9/2020,Don't Start Now,Dua Lipa,26
5/9/2020,Circles,Post Malone,35
5/9/2020,Intentions,Justin Bieber Featuring Quavo,12
5/9/2020,Adore You,Harry Styles,21
5/2/2020,Blinding Lights,The Weeknd,21
5/2/2020,Toosie Slide,Drake,3
5/2/2020,The Box,Roddy Ricch,20
5/2/2020,Don't Start Now,Dua Lipa,25
5/2/2020,Say So,Doja Cat Featuring Nicki Minaj,16
5/2/2020,Circles,Post Malone,34
5/2/2020,Adore You,Harry Styles,20
5/2/2020,Intentions,Justin Bieber Featuring Quavo,11
5/2/2020,Rockstar,DaBaby Featuring Roddy Ricch,1
5/2/2020,Life Is Good,Future Featuring Drake,15
4/25/2020,Blinding Lights,The Weeknd,20
4/25/2020,Toosie Slide,Drake,2
4/25/2020,The Box,Roddy Ricch,19
4/25/2020,Don't Start Now,Dua Lipa,24
4/25/2020,Say So,Doja Cat Featuring Nicki Minaj,15
4/25/2020,Adore You,Harry Styles,19
4/25/2020,Circles,Post Malone,33
4/25/2020,Life Is Good,Future Featuring Drake,14
4/25/2020,Intentions,Justin Bieber Featuring Quavo,10
4/25/2020,Everything I Wanted,Billie Eilish,23
4/18/2020,Toosie Slide,Drake,1
4/18/2020,Blinding Lights,The Weeknd,19
4/18/2020,The Box,Roddy Ricch,18
4/18/2020,Don't Start Now,Dua Lipa,23
4/18/2020,Life Is Good,Future Featuring Drake,13
4/18/2020,Circles,Post Malone,32
4/18/2020,Adore You,Harry Styles,18
4/18/2020,Say So,Doja Cat Featuring Nicki Minaj,14
4/18/2020,Intentions,Justin Bieber Featuring Quavo,9
4/18/2020,Everything I Wanted,Billie Eilish,22
4/11/2020,Blinding Lights,The Weeknd,18
4/11/2020,The Box,Roddy Ricch,17
4/11/2020,Don't Start Now,Dua Lipa,22
4/11/2020,Circles,Post Malone,31
4/11/2020,Life Is Good,Future Featuring Drake,12
4/11/2020,Adore You,Harry Styles,17
4/11/2020,Say So,Doja Cat Featuring Nicki Minaj,13
4/11/2020,Intentions,Justin Bieber Featuring Quavo,8
4/11/2020,Everything I Wanted,Billie Eilish,21
4/11/2020,Someone You Loved,Lewis Capaldi,47
4/4/2020,Blinding Lights,The Weeknd,17
4/4/2020,The Box,Roddy Ricch,16
4/4/2020,Don't Start Now,Dua Lipa,21
4/4/2020,Heartless,The Weeknd,18
4/4/2020,Circles,Post Malone,30
4/4/2020,Life Is Good,Future Featuring Drake,11
4/4/2020,Adore You,Harry Styles,16
4/4/2020,Intentions,Justin Bieber Featuring Quavo,7
4/4/2020,Say So,Doja Cat Featuring Nicki Minaj,12
4/4/2020,Roxanne,Arizona Zervas,21
3/28/2020,The Box,Roddy Ricch,15
3/28/2020,Blinding Lights,The Weeknd,16
3/28/2020,Don't Start Now,Dua Lipa,20
3/28/2020,Life Is Good,Future Featuring Drake,10
3/28/2020,Circles,Post Malone,29
3/28/2020,Roxanne,Arizona Zervas,20
3/28/2020,Adore You,Harry Styles,15
3/28/2020,Intentions,Justin Bieber Featuring Quavo,6
3/28/2020,Someone You Loved,Lewis Capaldi,45
3/28/2020,Everything I Wanted,Billie Eilish,19
3/21/2020,The Box,Roddy Ricch,14
3/21/2020,Don't Start Now,Dua Lipa,19
3/21/2020,Life Is Good,Future Featuring Drake,9
3/21/2020,Blinding Lights,The Weeknd,15
3/21/2020,Circles,Post Malone,28
3/21/2020,Baby Pluto,Lil Uzi Vert,1
3/21/2020,Roxanne,Arizona Zervas,19
3/21/2020,Lo Mein,Lil Uzi Vert,1
3/21/2020,Silly Watch,Lil Uzi Vert,1
3/21/2020,Intentions,Justin Bieber Featuring Quavo,5
3/14/2020,The Box,Roddy Ricch,13
3/14/2020,Life Is Good,Future Featuring Drake,8
3/14/2020,Don't Start Now,Dua Lipa,18
3/14/2020,Circles,Post Malone,27
3/14/2020,Stupid Love,Lady Gaga,1
3/14/2020,Roxanne,Arizona Zervas,18
3/14/2020,Blinding Lights,The Weeknd,14
3/14/2020,Dance Monkey,Tones And I,22
3/14/2020,Memories,Maroon 5,24
3/14/2020,Intentions,Justin Bieber Featuring Quavo,4
3/7/2020,The Box,Roddy Ricch,12
3/7/2020,Life Is Good,Future Featuring Drake,7
3/7/2020,Circles,Post Malone,26
3/7/2020,ON,BTS,1
3/7/2020,Don't Start Now,Dua Lipa,17
3/7/2020,Roxanne,Arizona Zervas,17
3/7/2020,Dance Monkey,Tones And I,21
3/7/2020,Blinding Lights,The Weeknd,13
3/7/2020,Memories,Maroon 5,23
3/7/2020,Someone You Loved,Lewis Capaldi,42
2/29/2020,The Box,Roddy Ricch,11
2/29/2020,Life Is Good,Future Featuring Drake,6
2/29/2020,Circles,Post Malone,25
2/29/2020,Dance Monkey,Tones And I,20
2/29/2020,Don't Start Now,Dua Lipa,16
2/29/2020,Roxanne,Arizona Zervas,16
2/29/2020,Memories,Maroon 5,22
2/29/2020,Someone You Loved,Lewis Capaldi,41
2/29/2020,Intentions,Justin Bieber Featuring Quavo,2
2/29/2020,Blinding Lights,The Weeknd,12
2/22/2020,The Box,Roddy Ricch,10
2/22/2020,Life Is Good,Future Featuring Drake,5
2/22/2020,Circles,Post Malone,24
2/22/2020,Memories,Maroon 5,21
2/22/2020,Dance Monkey,Tones And I,19
2/22/2020,Don't Start Now,Dua Lipa,15
2/22/2020,Roxanne,Arizona Zervas,15
2/22/2020,Someone You Loved,Lewis Capaldi,40
2/22/2020,"10,000 Hours",Dan + Shay & Justin Bieber,19
2/22/2020,Everything I Wanted,Billie Eilish,14
2/15/2020,The Box,Roddy Ricch,9
2/15/2020,Life Is Good,Future Featuring Drake,4
2/15/2020,Circles,Post Malone,23
2/15/2020,Memories,Maroon 5,20
2/15/2020,Dance Monkey,Tones And I,18
2/15/2020,Someone You Loved,Lewis Capaldi,39
2/15/2020,Roxanne,Arizona Zervas,14
2/15/2020,"10,000 Hours",Dan + Shay & Justin Bieber,18
2/15/2020,Don't Start Now,Dua Lipa,14
2/15/2020,Everything I Wanted,Billie Eilish,13
2/8/2020,The Box,Roddy Ricch,8
2/8/2020,Life Is Good,Future Featuring Drake,3
2/8/2020,Circles,Post Malone,22
2/8/2020,Memories,Maroon 5,19
2/8/2020,Someone You Loved,Lewis Capaldi,38
2/8/2020,"10,000 Hours",Dan + Shay & Justin Bieber,17
2/8/2020,Dance Monkey,Tones And I,17
2/8/2020,Roxanne,Arizona Zervas,13
2/8/2020,Don't Start Now,Dua Lipa,13
2/8/2020,Everything I Wanted,Billie Eilish,12
2/1/2020,The Box,Roddy Ricch,7
2/1/2020,Life Is Good,Future Featuring Drake,2
2/1/2020,Godzilla,Eminem Featuring Juice WRLD,1
2/1/2020,Circles,Post Malone,21
2/1/2020,Memories,Maroon 5,18
2/1/2020,"10,000 Hours",Dan + Shay & Justin Bieber,16
2/1/2020,Dance Monkey,Tones And I,16
2/1/2020,Someone You Loved,Lewis Capaldi,37
2/1/2020,Roxanne,Arizona Zervas,12
2/1/2020,Lose You To Love Me,Selena Gomez,14
1/25/2020,The Box,Roddy Ricch,6
1/25/2020,Life Is Good,Future Featuring Drake,1
1/25/2020,Circles,Post Malone,20
1/25/2020,Memories,Maroon 5,17
1/25/2020,Lose You To Love Me,Selena Gomez,13
1/25/2020,Someone You Loved,Lewis Capaldi,36
1/25/2020,"10,000 Hours",Dan + Shay & Justin Bieber,15
1/25/2020,Dance Monkey,Tones And I,15
1/25/2020,Roxanne,Arizona Zervas,11
1/25/2020,Yummy,Justin Bieber,2
1/18/2020,The Box,Roddy Ricch,5
1/18/2020,Yummy,Justin Bieber,1
1/18/2020,Circles,Post Malone,19
1/18/2020,Memories,Maroon 5,16
1/18/2020,"10,000 Hours",Dan + Shay & Justin Bieber,14
1/18/2020,Someone You Loved,Lewis Capaldi,35
1/18/2020,Dance Monkey,Tones And I,14
1/18/2020,Good As Hell,Lizzo,20
1/18/2020,Roxanne,Arizona Zervas,10
1/18/2020,Lose You To Love Me,Selena Gomez,12
1/11/2020,Circles,Post Malone,18
1/11/2020,Memories,Maroon 5,15
1/11/2020,The Box,Roddy Ricch,4
1/11/2020,Someone You Loved,Lewis Capaldi,34
1/11/2020,Roxanne,Arizona Zervas,9
1/11/2020,Good As Hell,Lizzo,19
1/11/2020,Dance Monkey,Tones And I,13
1/11/2020,HIGHEST IN THE ROOM,Travis Scott,13
1/11/2020,"10,000 Hours",Dan + Shay & Justin Bieber,13
1/11/2020,Lose You To Love Me,Selena Gomez,11
1/4/2020,All I Want For Christmas Is You,Mariah Carey,37
1/4/2020,Rockin' Around The Christmas Tree,Brenda Lee,32
1/4/2020,Jingle Bell Rock,Bobby Helms,30
1/4/2020,A Holly Jolly Christmas,Burl Ives,15
1/4/2020,Circles,Post Malone,17
1/4/2020,Roxanne,Arizona Zervas,8
1/4/2020,It's The Most Wonderful Time Of The Year,Andy Williams,15
1/4/2020,Someone You Loved,Lewis Capaldi,33
1/4/2020,Memories,Maroon 5,14
1/4/2020,Good As Hell,Lizzo,18
12/28/2019,All I Want For Christmas Is You,Mariah Carey,36
12/28/2019,Rockin' Around The Christmas Tree,Brenda Lee,31
12/28/2019,Circles,Post Malone,16
12/28/2019,Roxanne,Arizona Zervas,7
12/28/2019,Futsal Shuffle 2020,Lil Uzi Vert,1
12/28/2019,A Holly Jolly Christmas,Burl Ives,14
12/28/2019,Memories,Maroon 5,13
12/28/2019,Someone You Loved,Lewis Capaldi,32
12/28/2019,Jingle Bell Rock,Bobby Helms,29
12/28/2019,Good As Hell,Lizzo,17
12/21/2019,All I Want For Christmas Is You,Mariah Carey,35
12/21/2019,Circles,Post Malone,15
12/21/2019,Rockin' Around The Christmas Tree,Brenda Lee,30
12/21/2019,Someone You Loved,Lewis Capaldi,31
12/21/2019,Good As Hell,Lizzo,16
12/21/2019,Roxanne,Arizona Zervas,6
12/21/2019,Memories,Maroon 5,12
12/21/2019,Lucid Dreams,Juice WRLD,47
12/21/2019,Dance Monkey,Tones And I,10
12/21/2019,A Holly Jolly Christmas,Burl Ives,13
12/14/2019,Heartless,The Weeknd,2
12/14/2019,Circles,Post Malone,14
12/14/2019,All I Want For Christmas Is You,Mariah Carey,34
12/14/2019,Someone You Loved,Lewis Capaldi,30
12/14/2019,Memories,Maroon 5,11
12/14/2019,Good As Hell,Lizzo,15
12/14/2019,Roxanne,Arizona Zervas,5
12/14/2019,Rockin' Around The Christmas Tree,Brenda Lee,29
12/14/2019,Lose You To Love Me,Selena Gomez,7
12/14/2019,"10,000 Hours",Dan + Shay & Justin Bieber,9
12/7/2019,Circles,Post Malone,13
12/7/2019,Someone You Loved,Lewis Capaldi,29
12/7/2019,Good As Hell,Lizzo,14
12/7/2019,Memories,Maroon 5,10
12/7/2019,Roxanne,Arizona Zervas,4
12/7/2019,Lose You To Love Me,Selena Gomez,6
12/7/2019,Senorita,Shawn Mendes & Camila Cabello,23
12/7/2019,"10,000 Hours",Dan + Shay & Justin Bieber,8
12/7/2019,Truth Hurts,Lizzo,30
12/7/2019,No Guidance,Chris Brown Featuring Drake,25
11/30/2019,Circles,Post Malone,12
11/30/2019,Someone You Loved,Lewis Capaldi,28
11/30/2019,Good As Hell,Lizzo,13
11/30/2019,Memories,Maroon 5,9
11/30/2019,Lose You To Love Me,Selena Gomez,5
11/30/2019,Senorita,Shawn Mendes & Camila Cabello,22
11/30/2019,No Guidance,Chris Brown Featuring Drake,24
11/30/2019,Everything I Wanted,Billie Eilish,2
11/30/2019,"10,000 Hours",Dan + Shay & Justin Bieber,7
11/30/2019,Truth Hurts,Lizzo,29
11/23/2019,Someone You Loved,Lewis Capaldi,27
11/23/2019,Circles,Post Malone,11
11/23/2019,Senorita,Shawn Mendes & Camila Cabello,21
11/23/2019,Good As Hell,Lizzo,12
11/23/2019,Memories,Maroon 5,8
11/23/2019,Truth Hurts,Lizzo,28
11/23/2019,No Guidance,Chris Brown Featuring Drake,23
11/23/2019,Lose You To Love Me,Selena Gomez,4
11/23/2019,Panini,Lil Nas X,21
11/23/2019,"10,000 Hours",Dan + Shay & Justin Bieber,6
11/16/2019,Someone You Loved,Lewis Capaldi,26
11/16/2019,Circles,Post Malone,10
11/16/2019,Senorita,Shawn Mendes & Camila Cabello,20
11/16/2019,Truth Hurts,Lizzo,27
11/16/2019,Lose You To Love Me,Selena Gomez,3
11/16/2019,Good As Hell,Lizzo,11
11/16/2019,No Guidance,Chris Brown Featuring Drake,22
11/16/2019,Panini,Lil Nas X,20
11/16/2019,Memories,Maroon 5,7
11/16/2019,"10,000 Hours",Dan + Shay & Justin Bieber,5
11/9/2019,Lose You To Love Me,Selena Gomez,2
11/9/2019,Someone You Loved,Lewis Capaldi,25
11/9/2019,Circles,Post Malone,9
11/9/2019,Senorita,Shawn Mendes & Camila Cabello,19
11/9/2019,Truth Hurts,Lizzo,26
11/9/2019,Good As Hell,Lizzo,10
11/9/2019,Follow God,Kanye West,1
11/9/2019,No Guidance,Chris Brown Featuring Drake,21
11/9/2019,Panini,Lil Nas X,19
11/9/2019,Bad Guy,Billie Eilish,31
11/2/2019,Someone You Loved,Lewis Capaldi,24
11/2/2019,Truth Hurts,Lizzo,25
11/2/2019,Senorita,Shawn Mendes & Camila Cabello,18
11/2/2019,Circles,Post Malone,8
11/2/2019,No Guidance,Chris Brown Featuring Drake,20
11/2/2019,Panini,Lil Nas X,18
11/2/2019,HIGHEST IN THE ROOM,Travis Scott,3
11/2/2019,Ran$om,Lil Tecca,21
11/2/2019,Bad Guy,Billie Eilish,30
11/2/2019,"10,000 Hours",Dan + Shay & Justin Bieber,3
10/26/2019,Truth Hurts,Lizzo,24
10/26/2019,Senorita,Shawn Mendes & Camila Cabello,17
10/26/2019,Someone You Loved,Lewis Capaldi,23
10/26/2019,Circles,Post Malone,7
10/26/2019,No Guidance,Chris Brown Featuring Drake,19
10/26/2019,HIGHEST IN THE ROOM,Travis Scott,2
10/26/2019,Ran$om,Lil Tecca,20
10/26/2019,Bad Guy,Billie Eilish,29
10/26/2019,Panini,Lil Nas X,17
10/26/2019,Bandit,Juice WRLD & YoungBoy Never Broke Again,2
10/19/2019,HIGHEST IN THE ROOM,Travis Scott,1
10/19/2019,Truth Hurts,Lizzo,23
10/19/2019,Senorita,Shawn Mendes & Camila Cabello,16
10/19/2019,"10,000 Hours",Dan + Shay & Justin Bieber,1
10/19/2019,Someone You Loved,Lewis Capaldi,22
10/19/2019,Circles,Post Malone,6
10/19/2019,No Guidance,Chris Brown Featuring Drake,18
10/19/2019,Ran$om,Lil Tecca,19
10/19/2019,Bad Guy,Billie Eilish,28
10/19/2019,Panini,Lil Nas X,16
10/12/2019,Truth Hurts,Lizzo,22
10/12/2019,Senorita,Shawn Mendes & Camila Cabello,15
10/12/2019,Someone You Loved,Lewis Capaldi,21
10/12/2019,Ran$om,Lil Tecca,18
10/12/2019,No Guidance,Chris Brown Featuring Drake,17
10/12/2019,Bad Guy,Billie Eilish,27
10/12/2019,Circles,Post Malone,5
10/12/2019,Panini,Lil Nas X,15
10/12/2019,Goodbyes,Post Malone Featuring Young Thug,13
10/12/2019,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,31
10/5/2019,Truth Hurts,Lizzo,21
10/5/2019,Senorita,Shawn Mendes & Camila Cabello,14
10/5/2019,Someone You Loved,Lewis Capaldi,20
10/5/2019,Ran$om,Lil Tecca,17
10/5/2019,No Guidance,Chris Brown Featuring Drake,16
10/5/2019,Panini,Lil Nas X,14
10/5/2019,Bad Guy,Billie Eilish,26
10/5/2019,Circles,Post Malone,4
10/5/2019,Goodbyes,Post Malone Featuring Young Thug,12
10/5/2019,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,30
9/28/2019,Truth Hurts,Lizzo,20
9/28/2019,Senorita,Shawn Mendes & Camila Cabello,13
9/28/2019,Bad Guy,Billie Eilish,25
9/28/2019,Someone You Loved,Lewis Capaldi,19
9/28/2019,Panini,Lil Nas X,13
9/28/2019,Ran$om,Lil Tecca,16
9/28/2019,No Guidance,Chris Brown Featuring Drake,15
9/28/2019,Goodbyes,Post Malone Featuring Young Thug,11
9/28/2019,Circles,Post Malone,3
9/28/2019,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,29
9/21/2019,Truth Hurts,Lizzo,19
9/21/2019,Senorita,Shawn Mendes & Camila Cabello,12
9/21/2019,Goodbyes,Post Malone Featuring Young Thug,10
9/21/2019,Circles,Post Malone,2
9/21/2019,Bad Guy,Billie Eilish,24
9/21/2019,Ran$om,Lil Tecca,15
9/21/2019,No Guidance,Chris Brown Featuring Drake,14
9/21/2019,Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott,1
9/21/2019,Someone You Loved,Lewis Capaldi,18
9/21/2019,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,47
9/14/2019,Truth Hurts,Lizzo,18
9/14/2019,Senorita,Shawn Mendes & Camila Cabello,11
9/14/2019,Bad Guy,Billie Eilish,23
9/14/2019,Ran$om,Lil Tecca,14
9/14/2019,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,27
9/14/2019,No Guidance,Chris Brown Featuring Drake,13
9/14/2019,Circles,Post Malone,1
9/14/2019,I Don't Care,Ed Sheeran & Justin Bieber,17
9/14/2019,Talk,Khalid,30
9/14/2019,Goodbyes,Post Malone Featuring Young Thug,9
9/7/2019,Truth Hurts,Lizzo,17
